"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","CDOM_ugL","Phycoerythrin_ugL","Phycocyanin_ugL","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_CDOM_ugL","Flag_Phycoerythrin_ugL","Flag_Phycocyanin_ugL","Flag_DescRate_ms"
"FCR",50,7809,2026-01-21 10:41:23,0.204,2.2728,10.2886,74.039,23.644102,43.375,0.6065,4.5395,10.329,300.118,78.643,NA,NA,NA,0.011,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2682,10.2496,73.936,23.629312,43.362,0.616,4.5568,10.332,300.0619,79.15,NA,NA,NA,0.008,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2651,10.2212,73.979,23.6393,43.395,0.5795,4.4606,10.336,300.5074,78.897,NA,NA,NA,0.005,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2621,10.1982,74.119,23.638027,43.401,0.5308,4.3671,10.341,300.4269,78.172,NA,NA,NA,0.002,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2565,10.1588,74.314,23.613915,43.36,0.5259,4.3828,10.346,299.7779,78.207,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2466,10.148,74.535,23.601431,43.337,0.5621,4.4445,10.352,299.1993,79.306,NA,NA,NA,2.6046e-08,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2359,10.1601,74.763,23.613914,43.361,0.5777,4.3617,10.359,298.6798,79.038,NA,NA,NA,2.8651e-07,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2302,10.1826,74.952,23.638014,43.407,0.5477,4.2352,10.365,298.4002,79.243,NA,NA,NA,2.8651e-07,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2294,10.2116,75.062,23.639156,43.412,0.5163,4.1802,10.371,298.4003,79.678,NA,NA,NA,2.6046e-08,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2293,10.2417,75.109,23.62773,43.397,0.4977,4.1747,10.376,298.5084,78.568,NA,NA,NA,2.3679e-09,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.229,10.2762,75.118,23.626682,43.403,0.4798,4.2037,10.381,298.7612,77.299,NA,NA,NA,2.1536e-10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2284,10.3047,75.091,23.626483,43.413,0.4579,4.1538,10.385,298.6175,76.263,NA,NA,NA,2.0711e-11,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.2261,10.3197,75.073,23.625321,43.422,0.4252,4.1187,10.389,298.3195,75.983,NA,NA,NA,1.434e-11,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2227,10.3234,75.083,23.612628,43.41,0.4096,4.1547,10.392,298.342,76.411,NA,NA,NA,1.3995e-10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2181,10.3299,75.101,23.599841,43.396,0.4272,4.1106,10.397,298.1145,76.776,NA,NA,NA,1.5395e-09,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.211,10.3226,75.102,23.597534,43.402,0.4551,4.03,10.401,297.0322,77.951,NA,NA,NA,1.6934e-08,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.2033,10.3216,75.06,23.584738,43.39,0.4716,4.0335,10.405,295.5807,79.485,NA,NA,NA,1.8627e-07,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1963,10.3281,75.005,23.571951,43.38,0.4764,4.154,10.408,295.535,79.311,NA,NA,NA,1.8627e-07,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1908,10.3303,74.957,23.569749,43.387,0.5221,4.3594,10.413,296.5658,78.481,NA,NA,NA,1.6934e-08,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1851,10.3374,74.893,23.558104,43.373,0.592,4.4667,10.417,296.8591,77.66,NA,NA,NA,1.5395e-09,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1771,10.3293,74.814,23.55799,43.378,0.6045,4.3925,10.419,296.7576,76.52,NA,NA,NA,1.3995e-10,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1678,10.3233,74.732,23.568367,43.405,0.5983,4.384,10.422,296.8017,75.709,NA,NA,NA,1.2723e-11,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1605,10.3216,74.647,23.556733,43.393,0.5927,4.3984,10.426,296.3597,75.264,NA,NA,NA,1.1566e-12,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.157,10.3128,74.573,23.544146,43.378,0.5693,4.2597,10.43,294.5967,75.587,NA,NA,NA,1.0515e-13,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1542,10.3017,74.521,23.543002,43.378,0.5484,4.1419,10.433,292.091,76.117,NA,NA,NA,9.559e-15,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.149,10.2931,74.486,23.542897,43.373,0.5236,4.1006,10.434,290.7575,76.697,NA,NA,NA,8.69e-16,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1428,10.2814,74.455,23.542888,43.361,0.5275,4.1367,10.436,290.5189,78.024,NA,NA,NA,7.9e-17,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.137,10.2723,74.415,23.542897,43.348,0.5461,4.1685,10.439,290.7548,79.75,NA,NA,NA,7.182e-18,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1337,10.267,74.36,23.543011,43.338,0.5319,4.1097,10.441,291.5451,80.143,NA,NA,NA,6.529e-19,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1373,10.2608,74.296,23.544268,43.334,0.5227,4.1427,10.442,292.3299,79.076,NA,NA,NA,5.9355e-20,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1466,10.256,74.25,23.558103,43.356,0.5423,4.2591,10.443,292.5002,79.201,NA,NA,NA,5.396e-21,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1562,10.2465,74.229,23.583459,43.401,0.5603,4.3225,10.444,291.8838,79.719,NA,NA,NA,4.9052e-22,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1628,10.2386,74.198,23.59719,43.425,0.5498,4.2603,10.445,291.1574,78.992,NA,NA,NA,4.4593e-23,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1663,10.226,74.153,23.597296,43.424,0.5233,4.1218,10.446,290.6865,79.072,NA,NA,NA,4.0539e-24,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1679,10.2183,74.121,23.584738,43.4,0.5146,4.0831,10.448,290.4069,79.483,NA,NA,NA,3.6854e-25,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1688,10.2187,74.089,23.572178,43.378,0.544,4.0986,10.45,290.4438,78.417,NA,NA,NA,3.3503e-26,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1696,10.2148,74.049,23.572265,43.383,0.5872,4.0705,10.451,290.6159,77.011,NA,NA,NA,3.0458e-27,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1706,10.2042,73.996,23.585788,43.415,0.5959,4.0505,10.453,291.1974,75.941,NA,NA,NA,2.7689e-28,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1714,10.203,73.928,23.608848,43.467,0.5828,4.0967,10.455,291.9685,75.575,NA,NA,NA,2.5173e-29,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1708,10.1975,73.865,23.597421,43.457,0.5878,4.2191,10.457,291.938,76.254,NA,NA,NA,2.3073e-30,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1684,10.1937,73.78,23.574456,43.422,0.5975,4.2669,10.457,291.4308,76.994,NA,NA,NA,4.1606e-31,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1639,10.1874,73.695,23.584835,43.446,0.5924,4.1614,10.457,290.8258,76.916,NA,NA,NA,2.3072e-30,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1567,10.1796,73.887,23.596071,43.468,0.5917,4.1399,10.458,290.0435,76.647,NA,NA,NA,2.5173e-29,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1491,10.1705,74.247,23.583485,43.443,0.6146,4.2459,10.46,289.5433,77.175,NA,NA,NA,2.7689e-28,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.205,2.1443,10.1717,74.232,23.559489,43.392,0.6521,4.2809,10.461,290.1979,77.965,NA,NA,NA,3.0457e-27,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1418,10.1332,73.932,23.559603,43.382,0.6628,4.2219,10.461,291.6777,78.97,NA,NA,NA,3.3503e-26,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1407,10.1533,73.634,23.584865,43.412,0.6436,4.1475,10.462,292.2927,80.044,NA,NA,NA,3.6854e-25,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.1416,10.2675,73.339,23.611279,43.441,0.6526,4.2008,10.463,292.2134,80.104,NA,NA,NA,4.0539e-24,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
"FCR",50,7809,2026-01-21 10:41:23,0.206,2.145,10.2352,73.04,23.625314,43.445,0.6896,4.3886,10.464,291.9234,79.71,NA,NA,NA,4.4593e-23,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0
