DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2025-03-24T10:11:49Z,2.571,10.3394,22.05,3.6484,0.1704,0.54990000000000006,4.0562,19.702511,27.917,10.7173,96.041,5.2312,2.0597730880387988,0.118,0
2025-03-24T10:11:49Z,2.603,10.3265,22.05,3.6484,0.1704,0.54990000000000006,4.0109,19.722819,27.954,10.7324,96.068,4.9903,2.063387260526348,0.119,0
2025-03-24T10:11:49Z,2.634,10.312,22.05,3.6332,0.1704,0.54990000000000006,4.1167,19.746465,27.993,10.7465,96.06,4.8313,2.067250747225309,0.117,0
2025-03-24T10:11:49Z,2.664,10.2978,22.23,3.6027,0.1704,0.5922,4.1318,19.749896,28.003,10.7586,95.989,4.6188,2.0688324397908904,0.114,0
2025-03-24T10:11:49Z,2.693,10.2853,22.23,3.6065,0.1704,0.5922,4.026,19.732036,27.98,10.7676,95.822,4.5778,2.0677376347393714,0.109,0
2025-03-24T10:11:49Z,2.72,10.2752,22.23,3.6027,0.1704,0.5922,4.0864,19.717982,27.962,10.7732,95.559,4.5127,2.0668980850177965,0.105,0
2025-03-24T10:11:49Z,2.745,10.2676,22.23,3.6027,0.1704,0.5922,3.9958,19.700004,27.939,10.7743,95.229,4.4378,2.0655258822300486,0.1,0
2025-03-24T10:11:49Z,2.77,10.2621,22.23,3.4882,0.1704,0.5922,3.7994,19.669325,27.897,10.7677,94.879,4.2871,2.0625479037262213,0.096,0
2025-03-24T10:11:49Z,2.794,10.2583,22.23,3.473,0.1704,0.5076,3.8901,19.673503,27.904,10.75,94.566,4.1858,2.0633089259842867,0.093,0
2025-03-24T10:11:49Z,2.817,10.2557,22.23,3.4806,0.1704,0.5076,3.8447,19.709669,27.956,10.7211,94.338,4.1146,2.067525319253149,0.091,0
2025-03-24T10:11:49Z,2.84,10.2537,22.23,3.4501,0.1704,0.5076,3.8447,19.737704,27.997,10.6846,94.215,4.0401,2.0708476375103064,0.089,0
2025-03-24T10:11:49Z,2.861,10.252,22.23,3.3547,0.1704,0.5076,3.7692,19.753141,28.021,10.6457,94.195,3.9982,2.0728224154948585,0.088,0
2025-03-24T10:11:49Z,2.883,10.2506,22.23,3.3547,0.1704,0.4653,3.8598,19.768059,28.045,10.610900000000001,94.269,3.9464,2.074780470486749,0.088,0
2025-03-24T10:11:49Z,2.905,10.2494,22.23,3.3585,0.1704,0.4653,3.9052,19.802359,28.098,10.5856,94.413,3.8398,2.0789989803032696,0.09,0
2025-03-24T10:11:49Z,2.928,10.2479,22.23,3.3204,0.1704,0.4653,3.8447,19.83533,28.152,10.5721,94.591,3.8157,2.083313666498859,0.093,0
2025-03-24T10:11:49Z,2.952,10.2455,22.23,3.1296,0.1704,0.4653,3.7541,19.816045,28.137,10.5705,94.766,3.7386,2.082274189677049,0.096,0
2025-03-24T10:11:49Z,2.976,10.2419,22.23,3.1106,0.1278,0.54990000000000006,3.7994,19.751304,28.061,10.5797,94.91,3.636,2.076523711653235,0.099,0
2025-03-24T10:11:49Z,3.003,10.2361,22.23,3.1373,0.1278,0.54990000000000006,3.8296,19.695506,28,10.5973,95.021,3.4852,2.0720726233571867,0.103,0
2025-03-24T10:11:49Z,3.03,10.2265,22.23,3.1144,0.1278,0.54990000000000006,3.8598,19.675573,27.99,10.6198,95.108,3.3073,2.0718313296215087,0.105,0
2025-03-24T10:11:49Z,3.058,10.2114,22.23,3.4196,0.1278,0.54990000000000006,4.026,19.678227,28.011,10.6432,95.164,3.2327,2.0743311910472326,0.108,0
2025-03-24T10:11:49Z,3.085,10.1911,22.23,3.4119,0.1278,0.4653,4.0411,19.684269,28.035,10.6645,95.183,3.1895,2.0773634710399858,0.109,0
2025-03-24T10:11:49Z,3.113,10.168,22.23,3.4157,0.1278,0.4653,4.0109,19.687346,28.055,10.6828,95.168,3.0926,2.0802442349036583,0.11,0
2025-03-24T10:11:49Z,3.141,10.145,22.23,3.4119,0.1278,0.4653,4.0562,19.696243,28.081,10.6983,95.122,2.9578,2.083594004185807,0.11,0
2025-03-24T10:11:49Z,3.17,10.1235,22.23,3.7896,0.1278,0.4653,4.2677,19.713331,28.116,10.71,95.042,2.8296,2.0875696479666614,0.11,0
2025-03-24T10:11:49Z,3.198,10.1035,22.23,3.7514,0.1278,0.4653,4.313,19.713308,28.125,10.7172,94.914,2.7305,2.089419147782235,0.11,0
2025-03-24T10:11:49Z,3.226,10.0849,22.32,3.7858,0.1704,0.5922,4.2526,19.698158,28.11,10.7201,94.732,2.6458,2.0893017996513157,0.11,0
2025-03-24T10:11:49Z,3.254,10.0685,22.32,3.7743,0.1704,0.5922,4.2224,19.689718,28.104,10.7191,94.508,2.6303,2.089766819481148,0.112,0
2025-03-24T10:11:49Z,3.281,10.0549,22.32,3.8048,0.1704,0.5922,3.9354,19.675784,28.09,10.7136,94.264,2.6178,2.0894418349691124,0.115,0
2025-03-24T10:11:49Z,3.309,10.0441,22.32,3.782,0.1704,0.5922,4.0713,19.656623,28.07,10.7018,94.02,2.5828,2.088483704669919,0.119,0
2025-03-24T10:11:49Z,3.339,10.0357,22.32,3.782,0.1704,0.5076,4.0411,19.643049,28.06,10.6834,93.79,2.5207,2.0881755334112895,0.124,0
2025-03-24T10:11:49Z,3.372,10.0283,22.32,3.7667,0.1704,0.5076,3.9505,19.631442,28.054,10.66,93.586,2.4129,2.088125090851839,0.128,0
2025-03-24T10:11:49Z,3.407,10.0205,22.32,3.2441,0.1704,0.5076,4.026,19.610744,28.034,10.6344,93.409,2.1589,2.086994009597893,0.13,0
2025-03-24T10:11:49Z,3.444,10.0109,22.32,3.2479,0.1704,0.5076,4.1318,19.583399,28.001,10.6093,93.252,1.9891,2.0849406027129134,0.129,0
2025-03-24T10:11:49Z,3.479,9.9988,22.59,3.2212,0.1704,0.5076,4.026,19.569982,27.986,10.5864,93.109,1.9012,2.0844482994391362,0.125,0
2025-03-24T10:11:49Z,3.511,9.9857,22.59,3.2364,0.1704,0.5076,4.0713,19.562934,27.978,10.5666,92.977,1.9295,2.0845650204587973,0.119,0
2025-03-24T10:11:49Z,3.539,9.9742,22.59,3.0953,0.1704,0.5076,3.8901,19.558385,27.974,10.5494,92.86,1.945,2.0849059623526762,0.112,0
2025-03-24T10:11:49Z,3.565,9.9663,22.59,3.0724,0.1704,0.5076,3.7692,19.565074,27.988,10.5337,92.768,1.8806,2.086461780120132,0.105,0
2025-03-24T10:11:49Z,3.59,9.9617,22.32,3.0953,0.1704,0.54990000000000006,3.7843,19.570852,28.003,10.5187,92.717,1.839,2.087908210887009,0.1,0
2025-03-24T10:11:49Z,3.614,9.9587,22.32,3.122,0.1704,0.54990000000000006,3.6937,19.57925,28.023,10.5046,92.717,1.8302,2.0896581204244336,0.097,0
2025-03-24T10:11:49Z,3.638,9.9553,22.32,3.2479,0.1704,0.54990000000000006,3.7239,19.584544,28.04,10.4921,92.756,1.7248000000000001,2.0911944468952663,0.096,0
2025-03-24T10:11:49Z,3.662,9.9499,22.32,3.2517,0.1704,0.54990000000000006,3.8296,19.582174,28.049,10.4831,92.808,1.6874,2.092214193495573,0.096,0
2025-03-24T10:11:49Z,3.686,9.9418,22.32,3.2288,0.1704,0.54990000000000006,3.7994,19.581462,28.061,10.4794,92.842,1.6793,2.093626320663061,0.096,0
2025-03-24T10:11:49Z,3.711,9.9318,22.41,3.2364,0.1704,0.5922,3.7994,19.568282,28.056,10.4818,92.827,1.6276,2.0938050692004464,0.096,0
2025-03-24T10:11:49Z,3.737,9.92,22.41,3.9078,0.1704,0.5922,3.9052,19.549072,28.038,10.4891,92.754,1.5325,2.093059906910031,0.094,0
2025-03-24T10:11:49Z,3.762,9.9052,22.41,3.9002,0.1704,0.5922,3.7843,19.530653,28.018,10.4987,92.626,1.4776,2.092328502424028,0.092,0
2025-03-24T10:11:49Z,3.785,9.8882,22.41,3.9078,0.1704,0.5922,3.875,19.526029,28.015,10.5067,92.456,1.4622,2.0930674594531196,0.089,0
2025-03-24T10:11:49Z,3.807,9.8718,22.59,3.9078,0.1704,0.54990000000000006,3.8296,19.551881,28.054,10.5091,92.269,1.4776,2.0970961650813735,0.086,0
2025-03-24T10:11:49Z,3.827,9.8593,22.59,4.0719,0.1704,0.54990000000000006,4.0713,19.565339,28.077,10.5039,92.107,1.4464,2.099636764841438,0.083,0
2025-03-24T10:11:49Z,3.847,9.8512,22.59,4.0871,0.1704,0.54990000000000006,4.0411,19.554067,28.066,10.4915,91.984,1.4405,2.099232496556647,0.083,0
2025-03-24T10:11:49Z,3.867,9.8467,22.59,4.0948,0.1704,0.54990000000000006,4.1015,19.536956,28.048,10.4734,91.877,1.4321,2.098065978731154,0.084,0
2025-03-24T10:11:49Z,3.888,9.8439,22.32,4.091,0.1278,0.6345,4.1167,19.499489,28.002,10.4529,91.788,1.3879,2.0945838207663554,0.086,0
