DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR_umolm2s,DescRate_ms,Flag,Reservoir,Site,SN,CDOM_ugL,Phycoerythrin_ugL,Phycocyanin_ugL
2026-01-21T11:41:23Z,0.182,2.3541,0.4816,4.2112,43.457,23.748964,10.6253,76.473,10.292,299.7217,78.842,0.007,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.185,2.3547,0.472,4.1437,43.424,23.717735,10.5808,76.152,10.299,298.3477,78.355,0.007,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.186,2.3496,0.455,4.0665,43.514,23.754189,10.5482,75.769,10.308,299.3575,78.057,0.007,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.186,2.3408,0.4593,4.0632,43.634,23.80922,10.5171,75.35,10.316,302.0364,77.48,0.008,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.186,2.3247,0.482,4.138,43.653,23.812367,10.4837,74.981,10.321,303.2911,76.954,0.009,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.187,2.3079,0.5293,4.2535,43.624,23.79223,10.4455,74.69,10.325,303.1703,76.799,0.011,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.192,2.2934,0.574,4.3335,43.564,23.755993,10.3985,74.462,10.328,302.4696,76.534,0.012,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.199,2.281,0.5893,4.4221,43.452,23.691293,10.3349,74.249,10.328,301.0999,77.09,0.012,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.204,2.2728,0.6065,4.5395,43.375,23.644102,10.2886,74.039,10.329,300.118,78.643,0.011,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2682,0.616,4.5568,43.362,23.629312,10.2496,73.936,10.332,300.0619,79.15,0.008,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2651,0.5795,4.4606,43.395,23.6393,10.2212,73.979,10.336,300.5074,78.897,0.005,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2621000000000002,0.5308,4.3671,43.401,23.638027,10.1982,74.119,10.341,300.4269,78.172,0.002,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2565,0.5259,4.3828,43.36,23.613915,10.1588,74.314,10.346,299.7779,78.207,0,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.205,2.2466,0.5621,4.4445,43.337,23.601431,10.148,74.535,10.352,299.1993,79.306,2.6046e-8,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.205,2.2359,0.5777,4.3617,43.361,23.613914,10.1601,74.763,10.359,298.6798,79.038,2.8651e-7,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2302,0.5477,4.2352,43.407,23.638014,10.1826,74.952,10.365,298.4002,79.243,2.8651e-7,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.206,2.2294,0.5163,4.1802,43.412,23.639156,10.2116,75.062,10.371,298.4003,79.678,2.6046e-8,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.205,2.2293,0.4977,4.1747,43.397,23.62773,10.2417,75.109,10.376,298.5084,78.568,2.3679e-9,0,FCR,50,7809,NA,NA,NA
2026-01-21T11:41:23Z,0.205,2.229,0.4798,4.2037,43.403,23.626682,10.2762,75.118,10.381,298.7612,77.299,2.1536e-10,0,FCR,50,7809,NA,NA,NA
